Country,Year,Exports of goods and services (% of GDP),GDP (current US$),GDP growth (annual %),GDP per capita (current US$),Imports of goods and services (% of GDP),"Inflation, consumer prices (annual %)",Trade (% of GDP),"Employment to population ratio, 15+, female (%) (modeled ILO estimate)","Employment to population ratio, 15+, male (%) (modeled ILO estimate)","Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)","Employment to population ratio, ages 15-24, female (%) (national estimate)","Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)","Employment to population ratio, ages 15-24, male (%) (national estimate)","Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",Unemployment with advanced education (% of total labor force with advanced education),"Unemployment with advanced education, female (% of female labor force with advanced education)","Unemployment with advanced education, male (% of male labor force with advanced education)",Unemployment with basic education (% of total labor force with basic education),"Unemployment with basic education, female (% of female labor force with basic education)","Unemployment with basic education, male (% of male labor force with basic education)","Unemployment, female (% of female labor force) (modeled ILO estimate)","Unemployment, male (% of male labor force) (modeled ILO estimate)","Unemployment, total (% of total labor force) (modeled ILO estimate)_x","Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)","Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",Current account balance (% of GDP),External debt stocks (% of GNI),"Foreign direct investment, net inflows (% of GDP)",Gini index,"Life expectancy at birth, female (years)","Life expectancy at birth, male (years)","Life expectancy at birth, total (years)",Population growth (annual %),Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),"Unemployment, total (% of total labor force) (modeled ILO estimate)_y",Urban population (% of total population),agr_area_harvested_avg,agr_production_avg,agr_yield_avg,agr_area_harvested_item_count,agr_production_item_count,agr_yield_item_count,agr_area_harvested_total,agr_production_total,agr_yield_total,pop_rural_population,pop_total_population___both_sexes,pop_total_population___female,pop_total_population___male,pop_urban_population,disaster_count,disaster_deaths,disaster_injured,disaster_affected,disaster_total_affected,disaster_damage_usd_thousands,disaster_aid_usd_thousands
Afghanistan,2000,10.4208171386207,3521418059.92345,-9.4319740700862,174.930991430166,36.2890774127896,12.6862687216715,46.7098945514103,12.82,73.968,10.565,35.109,55.694,69.011,33.549,7.86,9.956,7.578,7.38,14.091,6.141,10.483,7.463,7.935,14.022,9.507,10.235,-2.35799044700136,13.7928583731895,0.0048276006173403,34.14181818181818,56.555,53.463,55.005,1.21217597601851,5.3122727272727275,7.935,22.078,80009.0,97458.11605263158,5593.225,35.0,76.0,36.0,2800315.0,7406816.82,201356.1,15657474.0,20130327.0,10035682.0,10094646.0,4436282.0,5.0,594.0,0.0,2582228.0,2582228.0,50.0,715539.0
Afghanistan,2001,10.4208171386207,2813571753.87253,-9.4319740700862,138.706821676113,36.2890774127896,12.6862687216715,46.7098945514103,12.728,73.913,10.465,35.109,55.608,69.011,33.464,7.86,9.956,7.578,7.38,14.091,6.141,10.508,7.484,7.953,14.054,9.529,10.254,-2.35799044700136,13.7928583731895,0.0241685679088889,34.14181818181818,57.089,53.941,55.511,0.762004896898895,5.3122727272727275,7.953,22.169,70986.11428571428,88741.79539473685,5692.111111111111,35.0,76.0,36.0,2484514.0,6744376.45,204916.0,16318324.0,20284307.0,10104514.0,10179792.0,4648139.0,5.0,485.0,20.0,204425.0,204695.0,10.0,2837.0
Afghanistan,2002,10.4208171386207,3825701438.99963,28.6000011706788,178.954088379235,36.2890774127896,12.6862687216715,46.7098945514103,12.691,73.859,10.432,35.109,55.558,69.011,33.43,7.86,9.956,7.578,7.38,14.091,6.141,10.483,7.463,7.93,14.029,9.512,10.234,-2.35799044700136,13.7928583731895,1.30694987042884,34.14181818181818,57.442,54.986,56.225,5.25202958527833,5.3122727272727275,7.93,22.261,75059.37142857142,125620.09249999998,5719.302777777778,35.0,76.0,36.0,2627078.0,9547127.03,205894.9,17086910.0,21378117.0,10640919.0,10737198.0,4893013.0,16.0,4083.0,1391.0,302279.0,313670.0,0.0,6538.0
Afghanistan,2003,10.4208171386207,4520946818.54581,8.83227780288267,198.871115728727,36.2890774127896,12.6862687216715,46.7098945514103,12.7,73.805,10.458,35.109,55.543,69.011,33.443,7.86,9.956,7.578,7.38,14.091,6.141,10.427,7.414,7.88,13.964,9.47,10.189,-2.35799044700136,13.7928583731895,1.27849325196424,34.14181818181818,58.472,55.849,57.171,6.14519400188515,5.3122727272727275,7.88,22.353,96878.6,133275.83157894737,5649.063888888889,35.0,76.0,36.0,3390751.0,10128963.2,203366.3,17909063.0,22733049.0,11306364.0,11426685.0,5155788.0,9.0,137.0,4.0,500.0,4754.0,0.0,0.0
Afghanistan,2004,10.4208171386207,5224896718.67782,1.41411799339429,221.763653873013,36.2890774127896,12.6862687216715,46.7098945514103,12.741,73.684,10.535,35.109,55.529,69.011,33.479,7.86,9.956,7.578,7.38,14.091,6.141,10.447,7.432,7.899,13.964,9.478,10.2,-2.35799044700136,13.7928583731895,3.577104200584,34.14181818181818,59.073,56.519,57.81,3.57583485398158,5.3122727272727275,7.899,22.5,86743.97142857143,121367.41197368421,5813.883333333333,35.0,76.0,36.0,3036039.0,9223923.31,209299.8,18692107.0,23560654.0,11709120.0,11851533.0,5426872.0,3.0,18.0,40.0,2800.0,5540.0,0.0,18.0
Afghanistan,2005,10.4208171386207,6203256538.70967,11.2297148272859,254.184249149336,36.2890774127896,12.6862687216715,46.7098945514103,12.83,73.58,10.67,35.109,55.567,69.011,33.569,7.86,9.956,7.578,7.38,14.091,6.141,10.428,7.416,7.885,13.918,9.456,10.181,-2.35799044700136,13.7928583731895,4.36867310434287,34.14181818181818,59.588,56.88,58.247,3.51921696042587,5.3122727272727275,7.885,22.703,99192.77142857143,150167.69894736842,5620.144444444445,35.0,76.0,36.0,3471747.0,11412745.120000001,202325.2,19378962.0,24404567.0,12119909.0,12284657.0,5691836.0,12.0,570.0,44.0,37901.0,44720.0,5050.0,1856.0
Afghanistan,2006,10.4208171386207,6971758282.29351,5.35740324748592,274.218553561575,36.2890774127896,6.78459655001655,46.7098945514103,12.958,73.427,10.862,35.109,55.606,69.011,33.684,7.86,9.956,7.578,7.38,14.091,6.141,10.456,7.441,7.914,13.91,9.464,10.197,-2.35799044700136,13.7928583731895,3.41377297323201,34.14181818181818,60.123,56.974,58.553,4.09270201656348,5.3122727272727275,7.914,22.907,97660.77142857143,136746.04210526316,5557.9944444444445,35.0,76.0,36.0,3418127.0,10392699.2,200087.8,19961972.0,25424094.0,12618615.0,12805479.0,5931478.0,13.0,382.0,185.0,2225515.0,2233910.0,0.0,74323.0
Afghanistan,2007,10.4208171386207,9747886187.39393,13.8263195471281,376.223152003876,36.2890774127896,8.68057078513406,46.7098945514103,13.168,73.344,11.149,35.109,55.722,69.011,33.883,7.86,9.956,7.578,7.38,14.091,6.141,10.337,7.341,7.817,13.746,9.362,10.098,-2.35799044700136,20.4806758495246,1.93570171391636,34.14181818181818,60.804,57.122,58.956,1.8925975396006,5.3122727272727275,7.817,23.113,98963.34285714285,155234.38513157895,5706.825000000001,35.0,76.0,36.0,3463717.0,11797813.27,205445.7,20464923.0,25909852.0,12853489.0,13056362.0,6151869.0,7.0,296.0,20.0,26755.0,30255.0,0.0,0.0
Afghanistan,2008,10.4208171386207,10109297047.5432,3.92498381999467,381.73323802844,36.2890774127896,26.4186641547444,46.7098945514103,13.402,73.104,11.478,35.109,55.755,69.011,34.062,7.86,9.956,7.578,7.38,14.091,6.141,10.397,7.393,7.878,13.749,9.384,10.135,-2.35799044700136,21.2121323521857,0.45536044478174,34.14181818181818,61.428,57.984,59.708,2.18654618162979,5.3122727272727275,7.878,23.32,90067.45714285714,129646.33947368422,5885.930555555556,35.0,76.0,36.0,3152361.0,9853121.8,211893.5,20929119.0,26482622.0,13131734.0,13350888.0,6364912.0,4.0,1334.0,182.0,452602.0,452964.0,0.0,3417.0
Afghanistan,2009,10.4208171386207,12416152732.0567,21.3905283926492,452.053705477043,36.2890774127896,-6.81116108898996,46.7098945514103,13.694,72.982,11.869,29.90025,55.865,67.0655,34.313,7.86,9.956,7.578,7.38,14.091,6.141,10.243,7.264,7.754,13.539,9.252,10.008,2.23601941932175,20.0367248536922,0.45188914562189,34.14181818181818,61.791,58.681,60.248,3.64638090813246,5.3122727272727275,7.754,23.528,104261.25714285714,168455.4947368421,7010.525,35.0,76.0,36.0,3649144.0,12802617.6,252378.9,21415593.0,27466100.0,13612943.0,13853157.0,6588738.0,5.0,101.0,86.0,62521.0,65857.0,20000.0,0.0
