Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
India,IND,"Unemployment with advanced education, male (% of male labor force with advanced education)",SL.UEM.ADVN.MA.ZS,8.389,..,..,..,..,7.009,..,..,..,..,5.605,..,6.372,..,..,..,..,..,14.039,13.56,15.269,13.5,12.052,10.839,..
India,IND,"Unemployment with advanced education, female (% of female labor force with advanced education)",SL.UEM.ADVN.FE.ZS,21.12,..,..,..,..,20.829,..,..,..,..,16.039,..,15.305,..,..,..,..,..,25.439,22.577,26.785,23.395,21.424,20.594,..
India,IND,Unemployment with basic education (% of total labor force with basic education),SL.UEM.BASC.ZS,3.941,..,..,..,..,4.124,..,..,..,..,3.035,..,2.954,..,..,..,..,..,6.394,4.937,6.368,4.877,3.095,2.473,..
India,IND,"Unemployment with basic education, female (% of female labor force with basic education)",SL.UEM.BASC.FE.ZS,6.143,..,..,..,..,5.37,..,..,..,..,4.162,..,3.834,..,..,..,..,..,4.627,3.681,3.947,2.856,1.799,1.697,..
India,IND,"Unemployment with basic education, male (% of male labor force with basic education)",SL.UEM.BASC.MA.ZS,3.6,..,..,..,..,3.836,..,..,..,..,2.796,..,2.765,..,..,..,..,..,6.714,5.21,6.951,5.382,3.449,2.748,..
India,IND,"Employment to population ratio, ages 15-24, female (%) (national estimate)",SL.EMP.1524.SP.FE.NE.ZS,22.418,..,..,..,..,25.285,..,..,..,..,17.235,..,15.602,..,..,..,..,..,7.361,9.269,9.151,9.738,10.537,14.735,..
India,IND,"Employment to population ratio, ages 15-24, male (%) (national estimate)",SL.EMP.1524.SP.MA.NE.ZS,57.651,..,..,..,..,57.802,..,..,..,..,47.397,..,44.598,..,..,..,..,..,30.853,33.378,32.393,34.34,35.786,37.78,..
India,IND,"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.FE.ZS,31.753,31.824,31.873,31.979,32.082,32.196,30.946,29.724,28.509,27.352,26.232,25.465,24.696,24.604,24.561,24.55,24.551,24.549,24.53,24.937,24.243,26.229,28.127,29.976,31.367
India,IND,"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.MA.ZS,77.894,77.517,77.073,76.777,76.461,76.166,75.656,75.142,74.561,74.063,73.589,73.214,72.772,72.566,72.367,72.107,71.812,71.465,71.098,71.508,69.472,70.859,72.586,73.538,73.9
India,IND,"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",SL.EMP.1524.SP.FE.ZS,22.749,22.358,21.935,21.603,21.263,20.932,19.641,18.4,17.177,16.049,14.984,14.104,13.236,12.771,12.295,11.787,11.287,10.776,10.241,10.056,9.379,10.647,11.487,12.791,13.322
India,IND,"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",SL.EMP.1524.SP.MA.ZS,54.113,53.076,51.913,50.997,50.031,49.065,47.292,45.478,43.525,41.68,39.855,38.564,37.166,36.671,36.15,35.506,34.812,34.024,33.175,33.924,32.511,34.034,35.788,36.876,37.181
India,IND,"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",SL.EMP.1524.SP.ZS,39.102,38.379,37.573,36.938,36.271,35.606,34.061,32.521,30.919,29.42,27.964,26.876,25.739,25.267,24.776,24.207,23.613,22.961,22.265,22.573,21.511,22.911,24.228,25.417,25.827
India,IND,Unemployment with advanced education (% of total labor force with advanced education),SL.UEM.ADVN.ZS,10.314,..,..,..,..,9.544,..,..,..,..,7.502,..,8.09,..,..,..,..,..,16.507,15.73,17.905,15.781,14.3,13.316,..
India,IND,"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,7.686,7.711,7.8,7.735,7.686,7.621,7.622,7.63,7.715,7.722,7.713,7.681,7.725,7.765,7.733,7.695,7.668,7.683,7.713,6.073,6.749,5.394,4.588,4.057,4.376
India,IND,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,7.601,7.631,7.735,7.658,7.601,7.524,7.525,7.535,7.635,7.643,7.632,7.594,7.647,7.693,7.655,7.61,7.579,7.596,7.632,6.653,8.219,6.72,4.908,4.216,4.131
India,IND,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,7.624,7.653,7.753,7.68,7.625,7.552,7.552,7.561,7.656,7.664,7.652,7.616,7.666,7.711,7.674,7.631,7.601,7.618,7.652,6.51,7.859,6.38,4.822,4.172,4.202
India,IND,"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.FE.ZS,19.5,19.75,20.136,20.21,20.323,20.417,20.681,20.975,21.448,21.769,22.061,22.35,22.816,23.272,23.612,23.976,24.364,24.857,25.412,23.199,24.9,19.621,18.689,15.484,17.574
India,IND,"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.MA.ZS,20.567,20.804,21.217,21.243,21.325,21.39,21.764,22.185,22.845,23.325,23.782,24.085,24.619,24.945,25.094,25.251,25.443,25.77,26.165,22.879,24.605,21.158,17.497,15.716,15.512
India,IND,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS,20.273,20.513,20.918,20.957,21.047,21.119,21.468,21.861,22.479,22.925,23.348,23.657,24.184,24.548,24.749,24.959,25.2,25.568,26.001,22.947,24.666,20.824,17.769,15.661,16.028
United States,USA,"Unemployment with advanced education, male (% of male labor force with advanced education)",SL.UEM.ADVN.MA.ZS,1.789,2.541,3.47,3.648,3.136,2.632,2.34,2.343,2.931,5.645,5.695,5.102,4.493,4.192,3.556,2.913,2.856,2.575,2.416,2.348,5.203,3.573,2.325,2.425,..
United States,USA,"Unemployment with advanced education, female (% of female labor force with advanced education)",SL.UEM.ADVN.FE.ZS,2.095,2.587,3.174,3.25,3.06,2.794,2.517,2.499,3.097,5.028,5.256,5.17,4.986,4.45,3.821,3.149,2.959,2.793,2.483,2.411,5.96,3.579,2.317,2.323,..
United States,USA,Unemployment with basic education (% of total labor force with basic education),SL.UEM.BASC.ZS,8.666,9.67,10.107,10.321,9.884,8.804,8.126,7.952,10.463,14.852,15.274,13.601,12.739,10.811,8.839,7.76,7.492,6.551,5.872,5.396,11.724,8.056,5.507,5.591,..
