Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"OA","Annual population","004","Afghanistan","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2000","2000","1000 No","20130.327","X","Figure from international organizations",""
"OA","Annual population","004","Afghanistan","512","Total Population - Male","3010","Population - Est. & Proj.","2000","2000","1000 No","10094.646","X","Figure from international organizations",""
"OA","Annual population","004","Afghanistan","513","Total Population - Female","3010","Population - Est. & Proj.","2000","2000","1000 No","10035.682","X","Figure from international organizations",""
"OA","Annual population","004","Afghanistan","551","Rural population","3010","Population - Est. & Proj.","2000","2000","1000 No","15657.474","X","Figure from international organizations",""
"OA","Annual population","004","Afghanistan","561","Urban population","3010","Population - Est. & Proj.","2000","2000","1000 No","4436.282","X","Figure from international organizations",""
"OA","Annual population","004","Afghanistan","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2001","2001","1000 No","20284.307","X","Figure from international organizations",""
"OA","Annual population","004","Afghanistan","512","Total Population - Male","3010","Population - Est. & Proj.","2001","2001","1000 No","10179.792","X","Figure from international organizations",""
"OA","Annual population","004","Afghanistan","513","Total Population - Female","3010","Population - Est. & Proj.","2001","2001","1000 No","10104.514","X","Figure from international organizations",""
"OA","Annual population","004","Afghanistan","551","Rural population","3010","Population - Est. & Proj.","2001","2001","1000 No","16318.324","X","Figure from international organizations",""
"OA","Annual population","004","Afghanistan","561","Urban population","3010","Population - Est. & Proj.","2001","2001","1000 No","4648.139","X","Figure from international organizations",""
"OA","Annual population","004","Afghanistan","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2002","2002","1000 No","21378.117","X","Figure from international organizations",""
"OA","Annual population","004","Afghanistan","512","Total Population - Male","3010","Population - Est. & Proj.","2002","2002","1000 No","10737.198","X","Figure from international organizations",""
"OA","Annual population","004","Afghanistan","513","Total Population - Female","3010","Population - Est. & Proj.","2002","2002","1000 No","10640.919","X","Figure from international organizations",""
"OA","Annual population","004","Afghanistan","551","Rural population","3010","Population - Est. & Proj.","2002","2002","1000 No","17086.91","X","Figure from international organizations",""
"OA","Annual population","004","Afghanistan","561","Urban population","3010","Population - Est. & Proj.","2002","2002","1000 No","4893.013","X","Figure from international organizations",""
"OA","Annual population","004","Afghanistan","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2003","2003","1000 No","22733.049","X","Figure from international organizations",""
"OA","Annual population","004","Afghanistan","512","Total Population - Male","3010","Population - Est. & Proj.","2003","2003","1000 No","11426.685","X","Figure from international organizations",""
"OA","Annual population","004","Afghanistan","513","Total Population - Female","3010","Population - Est. & Proj.","2003","2003","1000 No","11306.364","X","Figure from international organizations",""
"OA","Annual population","004","Afghanistan","551","Rural population","3010","Population - Est. & Proj.","2003","2003","1000 No","17909.063","X","Figure from international organizations",""
"OA","Annual population","004","Afghanistan","561","Urban population","3010","Population - Est. & Proj.","2003","2003","1000 No","5155.788","X","Figure from international organizations",""
"OA","Annual population","004","Afghanistan","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2004","2004","1000 No","23560.654","X","Figure from international organizations",""
"OA","Annual population","004","Afghanistan","512","Total Population - Male","3010","Population - Est. & Proj.","2004","2004","1000 No","11851.533","X","Figure from international organizations",""
"OA","Annual population","004","Afghanistan","513","Total Population - Female","3010","Population - Est. & Proj.","2004","2004","1000 No","11709.12","X","Figure from international organizations",""
"OA","Annual population","004","Afghanistan","551","Rural population","3010","Population - Est. & Proj.","2004","2004","1000 No","18692.107","X","Figure from international organizations",""
"OA","Annual population","004","Afghanistan","561","Urban population","3010","Population - Est. & Proj.","2004","2004","1000 No","5426.872","X","Figure from international organizations",""
"OA","Annual population","004","Afghanistan","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2005","2005","1000 No","24404.567","X","Figure from international organizations",""
"OA","Annual population","004","Afghanistan","512","Total Population - Male","3010","Population - Est. & Proj.","2005","2005","1000 No","12284.657","X","Figure from international organizations",""
"OA","Annual population","004","Afghanistan","513","Total Population - Female","3010","Population - Est. & Proj.","2005","2005","1000 No","12119.909","X","Figure from international organizations",""
"OA","Annual population","004","Afghanistan","551","Rural population","3010","Population - Est. & Proj.","2005","2005","1000 No","19378.962","X","Figure from international organizations",""
"OA","Annual population","004","Afghanistan","561","Urban population","3010","Population - Est. & Proj.","2005","2005","1000 No","5691.836","X","Figure from international organizations",""
"OA","Annual population","004","Afghanistan","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2006","2006","1000 No","25424.094","X","Figure from international organizations",""
"OA","Annual population","004","Afghanistan","512","Total Population - Male","3010","Population - Est. & Proj.","2006","2006","1000 No","12805.479","X","Figure from international organizations",""
"OA","Annual population","004","Afghanistan","513","Total Population - Female","3010","Population - Est. & Proj.","2006","2006","1000 No","12618.615","X","Figure from international organizations",""
"OA","Annual population","004","Afghanistan","551","Rural population","3010","Population - Est. & Proj.","2006","2006","1000 No","19961.972","X","Figure from international organizations",""
"OA","Annual population","004","Afghanistan","561","Urban population","3010","Population - Est. & Proj.","2006","2006","1000 No","5931.478","X","Figure from international organizations",""
"OA","Annual population","004","Afghanistan","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2007","2007","1000 No","25909.852","X","Figure from international organizations",""
"OA","Annual population","004","Afghanistan","512","Total Population - Male","3010","Population - Est. & Proj.","2007","2007","1000 No","13056.362","X","Figure from international organizations",""
"OA","Annual population","004","Afghanistan","513","Total Population - Female","3010","Population - Est. & Proj.","2007","2007","1000 No","12853.489","X","Figure from international organizations",""
"OA","Annual population","004","Afghanistan","551","Rural population","3010","Population - Est. & Proj.","2007","2007","1000 No","20464.923","X","Figure from international organizations",""
"OA","Annual population","004","Afghanistan","561","Urban population","3010","Population - Est. & Proj.","2007","2007","1000 No","6151.869","X","Figure from international organizations",""
"OA","Annual population","004","Afghanistan","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2008","2008","1000 No","26482.622","X","Figure from international organizations",""
"OA","Annual population","004","Afghanistan","512","Total Population - Male","3010","Population - Est. & Proj.","2008","2008","1000 No","13350.888","X","Figure from international organizations",""
"OA","Annual population","004","Afghanistan","513","Total Population - Female","3010","Population - Est. & Proj.","2008","2008","1000 No","13131.734","X","Figure from international organizations",""
"OA","Annual population","004","Afghanistan","551","Rural population","3010","Population - Est. & Proj.","2008","2008","1000 No","20929.119","X","Figure from international organizations",""
"OA","Annual population","004","Afghanistan","561","Urban population","3010","Population - Est. & Proj.","2008","2008","1000 No","6364.912","X","Figure from international organizations",""
"OA","Annual population","004","Afghanistan","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2009","2009","1000 No","27466.1","X","Figure from international organizations",""
"OA","Annual population","004","Afghanistan","512","Total Population - Male","3010","Population - Est. & Proj.","2009","2009","1000 No","13853.157","X","Figure from international organizations",""
"OA","Annual population","004","Afghanistan","513","Total Population - Female","3010","Population - Est. & Proj.","2009","2009","1000 No","13612.943","X","Figure from international organizations",""
"OA","Annual population","004","Afghanistan","551","Rural population","3010","Population - Est. & Proj.","2009","2009","1000 No","21415.593","X","Figure from international organizations",""
"OA","Annual population","004","Afghanistan","561","Urban population","3010","Population - Est. & Proj.","2009","2009","1000 No","6588.738","X","Figure from international organizations",""
"OA","Annual population","004","Afghanistan","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2010","2010","1000 No","28284.089","X","Figure from international organizations",""
"OA","Annual population","004","Afghanistan","512","Total Population - Male","3010","Population - Est. & Proj.","2010","2010","1000 No","14272.309","X","Figure from international organizations",""
"OA","Annual population","004","Afghanistan","513","Total Population - Female","3010","Population - Est. & Proj.","2010","2010","1000 No","14011.779","X","Figure from international organizations",""
"OA","Annual population","004","Afghanistan","551","Rural population","3010","Population - Est. & Proj.","2010","2010","1000 No","21966.187","X","Figure from international organizations",""
"OA","Annual population","004","Afghanistan","561","Urban population","3010","Population - Est. & Proj.","2010","2010","1000 No","6836.98","X","Figure from international organizations",""
"OA","Annual population","004","Afghanistan","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2011","2011","1000 No","29347.708","X","Figure from international organizations",""
"OA","Annual population","004","Afghanistan","512","Total Population - Male","3010","Population - Est. & Proj.","2011","2011","1000 No","14815.165","X","Figure from international organizations",""
"OA","Annual population","004","Afghanistan","513","Total Population - Female","3010","Population - Est. & Proj.","2011","2011","1000 No","14532.542","X","Figure from international organizations",""
"OA","Annual population","004","Afghanistan","551","Rural population","3010","Population - Est. & Proj.","2011","2011","1000 No","22594.126","X","Figure from international organizations",""
"OA","Annual population","004","Afghanistan","561","Urban population","3010","Population - Est. & Proj.","2011","2011","1000 No","7114.473","X","Figure from international organizations",""
"OA","Annual population","004","Afghanistan","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2012","2012","1000 No","30560.034","X","Figure from international organizations",""
